ajbh,zjqkje,zjshje,zjzxqke,zjyhlx,ywy0,PromisedJe,hsl,age,gender
141205E-07679,0.00147206173742,0.0,0.00147206173742,0.0,cq06,0.0,0.0,0.222222222222,0.0
141205E-07707,0.00386725705212,0.0,0.00386725705212,0.0,cq06,0.0,0.0,0.240740740741,0.0
141205E-07781,0.000538735038321,0.0,0.0,0.0,cq06,0.0,0.0,0.240740740741,0.5
141205E-08062,0.034687199607,0.0,0.034687199607,0.0,cq06,0.0,0.0,0.5,0.5
141205E-08119,0.00614245538928,0.0,0.00614245538928,0.0,cq06,0.0,0.0,0.203703703704,0.5
150104G-00023,0.0755435583956,0.0,0.0755435583956,0.0,fz04,0.0,0.0,0.574074074074,0.0
141205E-06064,0.00400343667359,0.0,0.00400343667359,0.0,cq06,0.0,0.0,0.12962962963,0.5
141105G-05663,0.000844176367906,0.00736292428198,0.0,0.0,cq01,0.0,1.0146147702,0.259259259259,0.5
150105G-00616,0.00230470857898,0.0,0.00230470857898,0.0,tj35,0.0,0.0,0.537037037037,0.5
150105G-00840,0.00640323650935,0.0,0.00640323650935,0.0,sjz09,0.0,0.0,0.777777777778,0.5
150105G-00849,0.00547266158867,0.0,0.00547266158867,0.0,sjz09,0.0,0.0,0.222222222222,0.5
150105G-00851,0.00390076435839,0.0,0.00390076435839,0.0,sjz09,0.0,0.0,0.148148148148,0.5
150105G-01120,0.0039856017477,0.0,0.0039856017477,0.0,sjz09,0.0,0.0,0.296296296296,0.5
150105G-01151,0.00154953675268,0.0,0.00154953675268,0.0,sjz10,0.0,0.0,0.277777777778,0.5
150105G-01300,0.00225802553897,0.0,0.00225802553897,0.0,sjz09,0.0,0.0,0.203703703704,0.5
150105G-01305,0.000260483466328,0.0,0.000260483466328,0.0,sjz09,0.0,0.0,0.222222222222,0.5
150105G-01329,0.00453712374753,0.0,0.00453712374753,0.0,sjz09,0.0,0.0,0.240740740741,0.5
141205E-07175,0.0194021700039,0.0,0.0194021700039,0.0,cq06,0.0,0.0,0.240740740741,0.5
150105G-01490,0.0277411702492,0.0,0.0277411702492,0.0,sjz07,0.0,0.0,0.462962962963,0.5
141205E-07298,0.0122803184066,0.0,0.0122803184066,0.0,cq06,0.0,0.0,0.351851851852,0.5
141205E-07435,0.00424761600467,0.0,0.00424761600467,0.0,cq06,0.0,0.0,0.277777777778,0.5
150105G-01698,0.00323628580306,0.0,0.00323628580306,0.0,ty15,0.0,0.0,0.425925925926,0.5
141205E-07625,0.00459875629456,0.0,0.00459875629456,0.0,cq06,0.0,0.0,0.259259259259,0.0
150105G-01825,0.00483743206881,0.0,0.00483743206881,0.0,ty15,0.0,0.0,0.518518518519,0.5
150105G-01832,0.0207591004911,0.0,0.0207591004911,0.0,ty15,0.0,0.0,0.444444444444,0.5
141205E-07652,0.0035918726753,0.0,0.0035918726753,0.0,cq06,0.0,0.0,0.240740740741,0.5
150105G-01905,0.000670935819033,0.0,0.000670935819033,0.0,ty15,0.0,0.0,0.166666666667,0.0
150105G-01963,0.00478436465989,0.0,0.00478436465989,0.0,ty15,0.0,0.0,0.666666666667,0.5
150105G-02121,0.00535626075422,0.0,0.00535626075422,0.0,hs11,0.0,0.0,0.685185185185,0.5
150105G-02283,0.00253892562176,0.0,0.00253892562176,0.0,hs11,0.0,0.0,0.148148148148,0.5
150105G-02327,0.00466566763949,0.00522193211488,0.00405821103556,0.0,hs11,0.0,0.130197144516,0.166666666667,0.0
150105G-02348,0.00860288546868,0.0,0.00860288546868,0.0,hs11,0.0,0.0,0.185185185185,0.5
150105G-02483,0.00300820407198,0.0,0.00300820407198,0.0,hs11,0.0,0.0,0.166666666667,0.5
150105G-02487,0.0187652456801,0.0,0.0187652456801,0.0,hs11,0.0,0.0,0.222222222222,0.5
150105G-02546,0.00365137912422,0.0,0.00365137912422,0.0,hs11,0.0,0.0,0.0925925925926,0.0
150104G-00027,0.0445195529438,0.0,0.0445195529438,0.0,fz05,0.0,0.0,0.333333333333,0.5
150105G-00237,0.00234829359031,0.0,0.00234829359031,0.0,tj35,0.0,0.0,0.240740740741,0.0
150105G-00251,0.0468398670829,0.0,0.0468398670829,0.0,tj35,0.0,0.0,0.648148148148,0.5
150105G-00384,0.0112095789492,0.0,0.0112095789492,0.0,tj35,0.0,0.0,0.518518518519,0.5
150105G-00676,0.00784131712434,0.0,0.00784131712434,0.0,tj35,0.0,0.0,0.296296296296,0.5
150105G-00821,0.00838329598093,0.0,0.00838329598093,0.0,sjz09,0.0,0.0,0.185185185185,0.5
150105G-00837,0.00537642831347,0.0,0.00537642831347,0.0,sjz09,0.0,0.0,0.166666666667,0.5
150105G-04100,0.00971002980042,0.0,0.00971002980042,0.0,cc12,0.0,0.0,0.222222222222,0.5
150105G-01144,0.00593505148101,0.0,0.00593505148101,0.0,sjz10,0.0,0.0,0.0925925925926,0.5
150105G-04295,0.00465932579254,0.0,0.00465932579254,0.0,cc12,0.0,0.0,0.203703703704,0.5
150105G-04339,0.044110291206,0.0,0.044110291206,0.0,cc12,0.0,0.0,0.222222222222,0.5
150105G-04413,0.0047429725669,0.0,0.0047429725669,0.0,cc12,0.0,0.0,0.203703703704,0.0
150105G-01320,0.0193177213868,0.0,0.0193177213868,0.0,sjz09,0.0,0.0,0.203703703704,0.5
150105G-01324,0.00573282917756,0.0,0.00573282917756,0.0,sjz09,0.0,0.0,0.277777777778,0.5
150105G-04577,0.0254710016527,0.0,0.0254710016527,0.0,heb49,0.0,0.0,0.537037037037,0.5
150105G-04596,0.00339807579495,0.0292111749347,0.0,0.0,heb49,0.0,1.0,0.296296296296,0.5
150105G-01396,9.09119553431e-05,0.0,9.09119553431e-05,0.0,sjz09,0.0,0.0,0.222222222222,0.0
150105G-01455,0.00463195379797,0.0,0.00463195379797,0.0,sjz07,0.0,0.0,0.333333333333,0.5
150105G-01469,0.00324096321891,0.0,0.00324096321891,0.0,sjz07,0.0,0.0,0.37037037037,0.5
141205E-07188,0.00185308889223,0.0,0.00185308889223,0.0,cq06,0.0,0.0,0.296296296296,0.5
141205E-07228,0.00155357026453,0.0,0.00155357026453,0.0,cq06,0.0,0.0,0.277777777778,0.5
150105G-01616,0.00149535769818,0.0,0.00149535769818,0.0,ty15,0.0,0.0,0.333333333333,0.5
150105G-04757,0.00797448983562,0.0,0.00797448983562,0.0,heb49,0.0,0.0,0.611111111111,0.5
141205E-07527,0.00363901130776,0.0,0.00363901130776,0.0,cq06,0.0,0.0,0.37037037037,0.5
150105G-01682,0.000720589321837,0.0,0.000720589321837,0.0,ty15,0.0,0.0,0.166666666667,0.0
141205E-07585,0.00229344025898,0.0,0.00229344025898,0.0,cq06,0.0,0.0,0.277777777778,0.0
150105G-01773,0.00801967853239,0.0,0.00801967853239,0.0,ty15,0.0,0.0,0.537037037037,0.5
150105G-01858,0.0101974712031,0.0,0.0101974712031,0.0,ty15,0.0,0.0,0.111111111111,0.5
150105G-01947,0.00584117513744,0.0,0.00584117513744,0.0,ty15,0.0,0.0,0.351851851852,0.5
150105G-01973,0.00615959174008,0.0,0.00615959174008,0.0,ty15,0.0,0.0,0.351851851852,0.5
150105G-01974,0.00975069902006,0.0,0.00975069902006,0.0,ty15,0.0,0.0,0.351851851852,0.5
150105G-02027,0.00636011316503,0.0,0.00636011316503,0.0,ty15,0.0,0.0,0.240740740741,0.5
141205E-07337,0.0288535204841,0.0,0.0288535204841,0.0,cq06,0.0,0.0,0.37037037037,0.5
150105G-05030,0.00515892240187,0.0,0.00515892240187,0.0,heb49,0.0,0.0,0.37037037037,0.5
150105G-05065,0.0126843195702,0.0,0.0126843195702,0.0,heb49,0.0,0.0,0.351851851852,0.5
150105G-02171,0.00584911459525,0.0,0.00584911459525,0.0,hs11,0.0,0.0,0.222222222222,0.5
150105G-02258,0.00743719446945,0.0,0.00743719446945,0.0,hs11,0.0,0.0,0.259259259259,0.5
150105G-02365,0.00296112011061,0.0,0.00296112011061,0.0,hs11,0.0,0.0,0.259259259259,0.5
141205E-07768,0.0211538561652,0.0,0.0211538561652,0.0,cq06,0.0,0.0,0.222222222222,0.0
150105G-02388,0.0436351568741,0.0,0.0436351568741,0.0,hs11,0.0,0.0,0.537037037037,0.0
150104G-00025,0.117718924156,0.00522193211488,0.117111467552,0.0,fz05,0.0,0.00516022898,0.351851851852,0.5
150105G-00212,0.00160980859692,0.0,0.00160980859692,0.0,tj35,0.0,0.0,0.481481481481,0.5
150105G-06460,0.0212224805377,0.0,0.0212224805377,0.0,wh04,0.0,0.0,0.592592592593,0.0
141205E-08449,0.00295876317899,0.0,0.00295876317899,0.0,cq06,0.0,0.0,0.444444444444,0.5
150105G-00478,0.00226054648388,0.0,0.00226054648388,0.0,tj35,0.0,0.0,0.203703703704,0.0
150105G-00582,0.0195855429289,0.0,0.0195855429289,0.0,tj35,0.0,0.0,0.555555555556,0.5
150105G-00663,0.00274834628596,0.0,0.00274834628596,0.0,tj35,0.0,0.0,0.296296296296,0.0
150105G-06924,0.00795232981871,0.0,0.00795232981871,0.0,wh11,0.0,0.0,0.351851851852,0.5
150105G-00728,0.00315919956002,0.0,0.00315919956002,0.0,tj35,0.0,0.0,0.222222222222,0.5
150105G-00852,0.000469071914983,0.0,0.000469071914983,0.0,sjz09,0.0,0.0,0.111111111111,0.5
150105G-00923,0.00951840154015,0.0,0.00951840154015,0.0,sjz10,0.0,0.0,0.240740740741,0.0
150105G-00937,0.0085681996966,0.0,0.0085681996966,0.0,sjz10,0.0,0.0,0.277777777778,0.0
